timestamp,status,html_file,image
2026-05-29 10:06:11,processed,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse1.html,figone
2026-05-29 10:06:26,processed,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse1.html,figtwo
2026-05-29 10:06:35,processed,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse1.html,figthree
2026-05-29 10:06:44,processed,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figfour
2026-05-29 10:06:55,processed,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figfive
2026-05-29 10:07:03,processed,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figseven
2026-05-29 10:07:12,processed,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figsix
2026-05-29 10:07:19,processed,./10_3_expo_form_complx_num-web/10_3_expo_form_complx_num-webse4.html,loop
2026-05-29 10:07:31,processed,./10_4_demoivre_theorem-web/10_4_demoivre_theorem-webse2.html,fig1
2026-05-29 10:07:35,error,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,workbook11block1fig1
2026-05-29 10:07:44,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,workbook11block1fig2
2026-05-29 10:07:54,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,keypoint
2026-05-29 10:08:05,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,workbook11block1fig3
2026-05-29 10:08:14,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse2.html,temp1a
2026-05-29 10:08:24,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse2.html,temp2
2026-05-29 10:08:35,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse3.html,temp3
2026-05-29 10:08:45,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse4.html,temp4
2026-05-29 10:08:53,processed,./11_2_use_derivative_table-web/11_2_use_derivative_table-webse5.html,searchcoil
2026-05-29 10:09:06,processed,./11_6_paramtrc_diffrntiatn-web/11_6_paramtrc_diffrntiatn-webse1.html,block3fig1
2026-05-29 10:09:16,processed,./11_7_implicit_diffrntiatn-web/11_7_implicit_diffrntiatn-webse1.html,circle7
2026-05-29 10:09:19,error,./12_1_tangents_n_normals-web/12_1_tangents_n_normals-webse1.html,workbook13fig1
2026-05-29 10:09:30,processed,./12_1_tangents_n_normals-web/12_1_tangents_n_normals-webse1.html,workbook13fig2
2026-05-29 10:09:37,processed,./12_1_tangents_n_normals-web/12_1_tangents_n_normals-webse1.html,workbook13fig3
2026-05-29 10:15:23,skipped,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse1.html,figone
2026-05-29 10:15:23,skipped,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse1.html,figtwo
2026-05-29 10:15:23,skipped,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse1.html,figthree
2026-05-29 10:15:24,skipped,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figfour
2026-05-29 10:15:24,skipped,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figfive
2026-05-29 10:15:24,skipped,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figseven
2026-05-29 10:15:24,skipped,./10_2_argnd_diag_n_polar_form-web/10_2_argnd_diag_n_polar_form-webse2.html,figsix
2026-05-29 10:15:36,processed,./10_2_argnd_diag_n_polar_form-web/longdesc/10_2_argnd_diag_n_polar_form-webse1__figone_longdesc.html,figone
2026-05-29 10:15:48,processed,./10_2_argnd_diag_n_polar_form-web/longdesc/10_2_argnd_diag_n_polar_form-webse1__figthree_longdesc.html,figthree
2026-05-29 10:15:51,error,./10_2_argnd_diag_n_polar_form-web/longdesc/10_2_argnd_diag_n_polar_form-webse1__figtwo_longdesc.html,figtwo
2026-05-29 10:15:58,processed,./10_2_argnd_diag_n_polar_form-web/longdesc/10_2_argnd_diag_n_polar_form-webse2__figfive_longdesc.html,figfive
2026-05-29 10:16:06,processed,./10_2_argnd_diag_n_polar_form-web/longdesc/10_2_argnd_diag_n_polar_form-webse2__figfour_longdesc.html,figfour
2026-05-29 10:16:15,processed,./10_2_argnd_diag_n_polar_form-web/longdesc/10_2_argnd_diag_n_polar_form-webse2__figseven_longdesc.html,figseven
2026-05-29 10:16:25,processed,./10_2_argnd_diag_n_polar_form-web/longdesc/10_2_argnd_diag_n_polar_form-webse2__figsix_longdesc.html,figsix
2026-05-29 10:16:25,skipped,./10_3_expo_form_complx_num-web/10_3_expo_form_complx_num-webse4.html,loop
2026-05-29 10:16:35,processed,./10_3_expo_form_complx_num-web/longdesc/10_3_expo_form_complx_num-webse4__loop_longdesc.html,loop
2026-05-29 10:16:35,skipped,./10_4_demoivre_theorem-web/10_4_demoivre_theorem-webse2.html,fig1
2026-05-29 10:16:46,processed,./10_4_demoivre_theorem-web/longdesc/10_4_demoivre_theorem-webse2__fig1_longdesc.html,fig1
2026-05-29 10:16:53,processed,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,workbook11block1fig1
2026-05-29 10:16:53,skipped,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,workbook11block1fig2
2026-05-29 10:16:53,skipped,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,keypoint
2026-05-29 10:16:53,skipped,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse1.html,workbook11block1fig3
2026-05-29 10:16:53,skipped,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse2.html,temp1a
2026-05-29 10:16:53,skipped,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse2.html,temp2
2026-05-29 10:16:53,skipped,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse3.html,temp3
2026-05-29 10:16:53,skipped,./11_1_intro_diffrntiatn-web/11_1_intro_diffrntiatn-webse4.html,temp4
2026-05-29 10:17:00,processed,./11_1_intro_diffrntiatn-web/longdesc/11_1_intro_diffrntiatn-webse1__keypoint_longdesc.html,keypoint
2026-05-29 10:17:11,processed,./11_1_intro_diffrntiatn-web/longdesc/11_1_intro_diffrntiatn-webse1__workbook11block1fig2_longdesc.html,workbook11block1fig2
2026-05-29 10:17:18,processed,./11_1_intro_diffrntiatn-web/longdesc/11_1_intro_diffrntiatn-webse1__workbook11block1fig3_longdesc.html,workbook11block1fig3
2026-05-29 10:17:26,processed,./11_1_intro_diffrntiatn-web/longdesc/11_1_intro_diffrntiatn-webse2__temp1a_longdesc.html,temp1a
2026-05-29 10:17:36,processed,./11_1_intro_diffrntiatn-web/longdesc/11_1_intro_diffrntiatn-webse2__temp2_longdesc.html,temp2
2026-05-29 10:17:49,processed,./11_1_intro_diffrntiatn-web/longdesc/11_1_intro_diffrntiatn-webse3__temp3_longdesc.html,temp3
2026-05-29 10:17:59,processed,./11_1_intro_diffrntiatn-web/longdesc/11_1_intro_diffrntiatn-webse4__temp4_longdesc.html,temp4
2026-05-29 10:17:59,skipped,./11_2_use_derivative_table-web/11_2_use_derivative_table-webse5.html,searchcoil
2026-05-29 10:18:08,processed,./11_2_use_derivative_table-web/longdesc/11_2_use_derivative_table-webse5__searchcoil_longdesc.html,searchcoil
2026-05-29 10:18:08,skipped,./11_6_paramtrc_diffrntiatn-web/11_6_paramtrc_diffrntiatn-webse1.html,block3fig1
